uid, start, end, summary, description, location
CSVConvertd3295d2a7f10a502a65ba374d3c580d9,"28 July 2012 09:30:00 AM -0500","28 July 2012 11:30:00 AM -0500","Weightlifting: WOMEN - 48kg: group A, victory ceremony","","ExCel, Docklands, London"
CSVConvert222c0f5a9fb1caed53f411e04be2ac1f,"29 July 2012 04:00:00 AM -0500","29 July 2012 08:00:00 AM -0500","Weightlifting: MEN - 56kg: group B. WOMEN - 53kg: group B","","ExCel, Docklands, London"
CSVConvertb197778421093a116f19e5ed8a5e66bb,"29 July 2012 04:00:00 AM -0500","29 July 2012 06:40:00 AM -0500","Water Polo: MEN - Preliminaries (2 matches)","","Aquatics Centre, Olympic Park, Stratford, London"
CSVConvert74b97c188f56c9ae932f06cc873a988e,"28 July 2012 03:30:00 AM -0500","28 July 2012 07:00:00 AM -0500","Volleyball: Women's preliminaries (2 matches)","","Earls Court, London"
CSVConvert45d534ba234d8b66cbe9784427f16300,"28 July 2012 08:45:00 AM -0500","28 July 2012 12:15:00 PM -0500","Volleyball: Women's preliminaries (2 matches)","","Earls Court, London"
CSVConvert0fed42cffc84469b4f2ce64b05bec901,"28 July 2012 02:00:00 PM -0500","28 July 2012 05:30:00 PM -0500","Volleyball: Women's preliminaries (2 matches)","","Earls Court, London"
CSVConvertf18127792a3e6e9cb2c5763393e1ecad,"29 July 2012 03:30:00 AM -0500","29 July 2012 07:00:00 AM -0500","Volleyball: Men's preliminaries (2 matches)","","Earls Court, London"
CSVConverte2c02b9c408865676442879fed29d53e,"28 July 2012 06:00:00 AM -0500","28 July 2012 02:00:00 PM -0500","Tennis:  Men & Women Singles: round 1. Men & Women Doubles: round 1","","All England Club, Wimbledon, London"
CSVConvert8b49606c1772a46efd5e111b88a53ee3,"28 July 2012 05:30:00 AM -0500","28 July 2012 02:00:00 PM -0500","Tennis:  Men & Women Singles: round 1. Men & Women Doubles: round 1","","All England Club, Wimbledon, London"
CSVConvertde55b082825e55579ed5727f7418262d,"29 July 2012 03:00:00 AM -0500","29 July 2012 06:00:00 AM -0500","Table Tennis: MEN - Singles: round 2 WOMEN -Singles: round 2","","ExCel, Docklands, London"
CSVConvert0bba186937b9de17afb2dc4c0f63ddfc,"28 July 2012 01:00:00 PM -0500","28 July 2012 04:00:00 PM -0500","Table Tennis: MEN - Singles: round 1 WOMEN - Singles: round 2","","ExCel, Docklands, London"
CSVConverta24bb4d7556d8eaf3b5405a183d08ecc,"28 July 2012 08:30:00 AM -0500","28 July 2012 11:30:00 AM -0500","Table Tennis: MEN - Singles: round 1 WOMEN - Singles: round 1","","ExCel, Docklands, London"
CSVConvert65350a43dc3912fec9e8732098525890,"28 July 2012 03:00:00 AM -0500","28 July 2012 06:45:00 AM -0500","Table Tennis: MEN - Singles: preliminaries WOMEN - Singles: preliminaries, round 1","","ExCel, Docklands, London"
CSVConvert457c79a8596c7140634530a21a8a862b,"28 July 2012 01:30:00 PM -0500","28 July 2012 03:35:00 PM -0500","Swimming: MEN - 100m Breaststroke: semi-finals. 400m Freestyle: final, victory ceremony. 400m Individual Medley: final, victory ceremony. WOMEN - 100m Butterfly: semi-finals. 400m Individual Medley: final, victoryceremony. 4 x 100m Freestyle Relay: final, victory ceremony.","","Aquatics Centre, Olympic Park, Stratford, London"
CSVConvert384faa68e180c65596f01df2ad08e657,"28 July 2012 04:00:00 AM -0500","28 July 2012 07:00:00 AM -0500","Swimming: MEN - 100m Breaststroke: heats.  400m Freestyle: heats.400m Individual Medley: heats. WOMEN - 100m Butterfly: heats.  400m Individual Medley: heats.  4 x 100m Freestyle Relay: heats.","","Aquatics Centre, Olympic Park, Stratford, London"
CSVConverted268d92c56514b239c8bd7544c69926,"29 July 2012 04:00:00 AM -0500","29 July 2012 06:50:00 AM -0500","Swimming: MEN - 100m Backstroke: heats.  200m Freestyle: heats.  4x 100m Freestyle Relay: heats. WOMEN - 100m Backstroke: heats.  100m Breaststroke: heats.  400m Freestyle: heats.","","Aquatics Centre, Olympic Park, Stratford, London"
CSVConvert06831190f6e6e6c6910a908bf11a93d8,"28 July 2012 02:15:00 AM -0500","28 July 2012 10:00:00 AM -0500","Shooting: WOMEN - 10m Air Rifle: qualification, final, victory ceremony","","The Royal Artillery Barracks, Woolwich, London"
CSVConvert647bcd30c960cf37f063db3b9f6c84c7,"29 July 2012 03:00:00 AM -0500","29 July 2012 11:30:00 AM -0500","Shooting: WOMEN - 10m Air Pistol: qualification, final, victory ceremony. Skeet: qualification, final, victory ceremony","","The Royal Artillery Barracks, Woolwich, London"
CSVConvert7122204a5984f48971b9bf02ccddfb05,"28 July 2012 02:15:00 AM -0500","28 July 2012 10:00:00 AM -0500","Shooting: MEN - 10m Air Pistol: qualification, final, victory ceremony","","The Royal Artillery Barracks, Woolwich, London"
CSVConvertf073f60366163aef557b99929a1b6189,"28 July 2012 03:30:00 AM -0500","28 July 2012 08:10:00 AM -0500","Rowing: MEN - Pairs, Lightweight Fours, Eights, Single Sculls,Double Sculls, Quadruple Sculls: heats. WOMEN - Pairs, Single Sculls, Quadruple Sculls: heats","","Eton Dorney, Buckinghamshire"
CSVConvert9d0b07f4986e2ce95292a90d4465e8d0,"29 July 2012 03:30:00 AM -0500","29 July 2012 05:50:00 AM -0500","Rowing: MEN - Lightweight Fours: repechage. Single Sculls: repechages. Double Sculls: repechage. Lightweight Double Sculls: heats. WOMEN - Eights: heats. Single Sculls: repechage. Lightweight Double Sculls: heats","","Eton Dorney, Buckinghamshire"
CSVConvert76f79ace3ab3dabdbc4499298456498d,"27 July 2012 01:30:00 PM -0500","27 July 2012 04:30:00 PM -0500","Opening Ceremony","","Olympic Stadium, Stratford, London"
CSVConvertd9ce5502d019787ba2b660127a92bf2c,"29 July 2012 03:30:00 AM -0500","29 July 2012 04:30:00 AM -0500","Judo: MEN -66kg: elimination rounds, quarter-finals. WOMEN -52kg:elimination rounds, quarter-finals","","ExCel, Docklands, London"
CSVConvert497cf417a6045e2602b993017d043908,"28 July 2012 08:00:00 AM -0500","28 July 2012 10:30:00 AM -0500","Judo: MEN -60 kg: repechages, semi-final contests, bronze medal contests, gold medal contest, victory ceremony. WOMEN -48kg: repechages,semi-final contests, bronze medal contests, gold medal contest, victoryceremony","","ExCel, Docklands, London"
CSVConvert6eee0c31ff6db504de3255556846b04c,"28 July 2012 03:30:00 AM -0500","28 July 2012 06:30:00 AM -0500","Judo: MEN -60 kg: elimination rounds, quarter-finals. WOMEN -48kg: elimination rounds, quarter-finals","","ExCel, Docklands, London"
CSVConvert50d5fb30715601eb10254e554ac77e28,"29 July 2012 02:30:00 AM -0500","29 July 2012 06:15:00 AM -0500","Hockey: WOMEN - Preliminaries (2 matches)","","Hockey Centre, Olympic Park, Stratford, London"
CSVConvert7775193135838def27fd075c9d052672,"28 July 2012 08:30:00 AM -0500","28 July 2012 11:45:00 AM -0500","Handball: Women's preliminaries (2 matches)","","Handball Arena, Olympic Park, Stratford, London"
CSVConvert083f5d9f634696a45ec8a284b39e115e,"28 July 2012 03:30:00 AM -0500","28 July 2012 06:45:00 AM -0500","Handball: Women's preliminaries (2 matches)","","Handball Arena, Olympic Park, Stratford, London"
CSVConvert036c3f73a01b2c8ff63dc56a767f244b,"28 July 2012 01:30:00 PM -0500","28 July 2012 04:45:00 PM -0500","Handball: Women's preliminaries (2 matches)","","Handball Arena, Olympic Park, Stratford, London"
CSVConvertdb3cf820fb54f38ddfd99f60fe24785d,"29 July 2012 03:30:00 AM -0500","29 July 2012 06:45:00 AM -0500","Handball: Men's preliminaries (2 matches)","","Handball Arena, Olympic Park, Stratford, London"
CSVConvertf0ab74de375ca8b25667dc6756d87bee,"29 July 2012 03:30:00 AM -0500","29 July 2012 04:30:00 AM -0500","Gymnastics (Artistic): WOMEN - Qualification","","North Greenwich Arena, London"
CSVConverte3d1692b8a0863e97d630555e038edce,"28 July 2012 05:00:00 AM -0500","28 July 2012 07:10:00 AM -0500","Gymnastics (Artistic): MEN - Qualification","","North Greenwich Arena, London"
CSVConvert31010a401c3d349aa4565e05b5516b56,"28 July 2012 09:30:00 AM -0500","28 July 2012 11:40:00 AM -0500","Gymnastics (Artistic): MEN - Qualification","","North Greenwich Arena, London"
CSVConvert07e405b62c12ce98d136e02d4474efa5,"28 July 2012 02:00:00 PM -0500","28 July 2012 04:10:00 PM -0500","Gymnastics (Artistic): MEN - Qualification","","North Greenwich Arena, London"
CSVConvert091b4370975b421479a2696aaa96d98b,"25 July 2012 10:00:00 AM -0500","25 July 2012 02:45:00 PM -0500","Football: WOMEN - Preliminaries  (2 matches)","","Millennium Stadium, Cardiff"
CSVConvertf66d50c1abf56a282c1eccc21857a02d,"28 July 2012 11:00:00 AM -0500","28 July 2012 03:45:00 PM -0500","Football: WOMEN - Preliminaries  (2 matches)","","Hampden Park, Glasgow"
CSVConvertd5c8128bddcbfdad4e57404dd3abf38a,"25 July 2012 11:00:00 AM -0500","25 July 2012 03:45:00 PM -0500","Football: WOMEN - Preliminaries  (2 matches)","","Hampden Park, Glasgow"
CSVConvert41fa1e1acf80e81293ee98191c13d1d2,"28 July 2012 08:30:00 AM -0500","28 July 2012 01:15:00 PM -0500","Football: WOMEN - Preliminaries  (2 matches)","","Millennium Stadium, Cardiff"
CSVConvert20b4b432a5b7a75e85900ddce7eeab3e,"25 July 2012 11:00:00 AM -0500","25 July 2012 03:45:00 PM -0500","Football: WOMEN - Preliminaries  (2 matches)","","City of Coventry Stadium, Coventry"
